sender,subject,body,label,id,timestamp,sub_len,body_len,sender_dmn
welcome@netflix.com,Welcome to Netflix!,"Welcome to Netflix!

We're excited to have you on board. Here's what you can do next:

1. Complete your profile setup
2. Explore our features
3. Join our community
4. Contact support if you need help

Get started: [Getting Started Guide]

Welcome aboard!
The Netflix Team",legitimate,0,2025-07-14T20:36:26,19,271,netflix.com
lottery@tempmail.com,"YOU WON $404,759!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $404,759 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 120818

Contact our claims department immediately!

Dr. Miller, Lottery Commissioner",spam,1,2025-07-31T01:26:21,29,364,tempmail.com
deals@tempmail.com,🔥 89% OFF Discount Electronics - LIMITED TIME!,"🔥 AMAZING DEAL ALERT! 🔥

Get 89% OFF on discount electronics!

LIMITED TIME OFFER - ONLY TODAY!!!

✅ Free shipping worldwide
✅ Money back guarantee  
✅ Thousands of satisfied customers

CLICK NOW: [Spam Link]

Don't miss out! This offer expires in 2 hours!

*This email was sent to millions of recipients*",spam,2,2025-07-23T17:58:22,46,305,tempmail.com
security@netflix.com,Password Reset Request - Netflix,"Hi,

We received a request to reset your password for your Netflix account.

If you requested this, click the link below to reset your password:
[Reset Password Link]

This link will expire in 24 hours.

If you didn't request this, please ignore this email.

Netflix Security Team",legitimate,3,2025-07-05T15:23:53,32,280,netflix.com
security@microsooft.com,Security breach detected - Account Verification,"Account will be suspended

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,4,2025-07-28T19:27:11,47,256,microsooft.com
alert@tempmail.com,⚠️ URGENT: Microsoft detected suspicious activity!,"⚠️ URGENT ALERT ⚠️

Microsoft detected suspicious activity!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,5,2025-08-02T03:55:41,50,379,tempmail.com
billing@dropbox.com,Payment Confirmation - Dropbox,"Dear Customer,

Your Dropbox subscription has been renewed.

Amount charged: $68.99
Next billing date: 2025-09-03
Payment method: Card ending in 1929

View your invoice or update billing information in your account.

Dropbox Billing Team",legitimate,6,2025-07-30T00:51:50,30,237,dropbox.com
security@goog1e.com,Account will be suspended - Account Verification,"Click now or lose access

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,7,2025-07-21T06:48:59,48,255,goog1e.com
lottery@tempmail.com,"YOU WON $5,201,269!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $5,201,269 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 226486

Contact our claims department immediately!

Dr. Johnson, Lottery Commissioner",spam,8,2025-07-22T07:23:42,31,367,tempmail.com
security@github.com,Password Reset Request - Github,"Hi,

We received a request to reset your password for your Github account.

If you requested this, click the link below to reset your password:
[Reset Password Link]

This link will expire in 24 hours.

If you didn't request this, please ignore this email.

Github Security Team",legitimate,9,2025-07-19T09:03:28,31,278,github.com
deals@guerrillamail.com,🔥 66% OFF Discount Electronics - LIMITED TIME!,"🔥 AMAZING DEAL ALERT! 🔥

Get 66% OFF on discount electronics!

LIMITED TIME OFFER - ONLY TODAY!!!

✅ Free shipping worldwide
✅ Money back guarantee  
✅ Thousands of satisfied customers

CLICK NOW: [Spam Link]

Don't miss out! This offer expires in 2 hours!

*This email was sent to millions of recipients*",spam,10,2025-07-05T21:44:40,46,305,guerrillamail.com
