sender,subject,body,label,id,timestamp,sub_len,body_len,sender_dmn,quote_number,company,warranty_number,order_number,product,po_number,tracking_number,inquiry_number,supplier,rma_number,invoice_number,ticket_number,delivery_number
security@paypaI.com,Click now or lose access - Account Verification,"URGENT ACTION REQUIRED

Your account has been compromised. You must verify your information immediately.

Click here to secure your account: [Fake Link]

Warning: Failure to verify within 24 hours will result in permanent account closure.

Security Team",spam,0,2025-07-25T15:23:55,47,253,paypaI.com,,,,,,,,,,,,,
lottery@fake-rolex.shop,"YOU WON $8,831,249!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $8,831,249 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 358142

Contact our claims department immediately!

Dr. Franklin, Lottery Commissioner",spam,1,2025-07-24T10:44:28,31,368,fake-rolex.shop,,,,,,,,,,,,,
purchasing@johnsonindustries.com,Quote Request QUO-60285 - Multiple Items,"Quote Request

Company: Johnson Industries
Quote Number: QUO-60285
Date: August 04, 2025

We are requesting a quote for the following items:

1. Control Panel CP-890 - Quantity: 81
2. Safety Switch SS-123 - Quantity: 98
3. Cable Assembly CA-660 - Quantity: 33


Please include:
- Unit pricing
- Volume discounts
- Lead times
- Shipping costs
- Payment terms

Required delivery date: 2025-10-17

Contact Information:
Kimberly Campos
williamsrobert@example.org
+1-896-502-3185

Thank you for your prompt response.

Johnson Industries Purchasing Department",legitimate,2,2025-08-01T05:09:18,40,553,johnsonindustries.com,QUO-60285,Johnson Industries,,,,,,,,,,,
alert@crypto-profits.investment,⚠️ URGENT: Your computer is infected with 247 viruses!,"⚠️ URGENT ALERT ⚠️

Your computer is infected with 247 viruses!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,3,2025-07-14T13:04:34,54,383,crypto-profits.investment,,,,,,,,,,,,,
maintenance@thompsoncorp.com,Warranty Claim WAR-83916 - Control Panel CP-890,"Warranty Claim

Warranty Claim Number: WAR-83916
Original Order: ORD-920725
Customer: Thompson Corp
Product: Control Panel CP-890
Serial Number: SN454557

Purchase Date: 2024-08-21
Warranty Period: 2 years

Issue Description:
Product has failed prematurely. We believe this is covered under warranty.

Failure Details:
- Date of failure: 2025-07-28
- Symptoms: Intermittent operation, unusual noise
- Operating conditions: Normal industrial environment

We request either repair or replacement under warranty terms.

Supporting documentation attached.

Contact: Patricia Cruz
Phone: 001-550-314-1658x7205

Thompson Corp Maintenance Department",legitimate,4,2025-07-24T06:42:39,47,642,thompsoncorp.com,,,WAR-83916,ORD-920725,Control Panel CP-890,,,,,,,,
shipping@elitesupplyco.com,Shipment Confirmation - PO PO-53556 - Tracking 1Z249845654238854,"Shipment Notification

Your order has been shipped!

PO Number: PO-53556
Product: Hydraulic Valve V-450
Tracking Number: 1Z249845654238854
Carrier: UPS Ground
Estimated Delivery: 2025-08-08

Ship To:
Your Company Name
1152 David Crest
Wellsberg, GA 80528

Track your shipment: https://ups.com/track?1Z249845654238854

Elite Supply Co Shipping Department",legitimate,5,2025-07-16T11:07:49,64,353,elitesupplyco.com,,,,,Hydraulic Valve V-450,PO-53556,1Z249845654238854,,,,,,
lottery@work-from-home.org,"YOU WON $2,891,634!!! CLAIM NOW","CONGRATULATIONS!!!

You have won $2,891,634 in the International Email Lottery!

Your lucky email was randomly selected from millions of participants.

To claim your prize:
1. Reply with your full name and address
2. Send copy of ID
3. Pay processing fee of $500

Reference Number: 374551

Contact our claims department immediately!

Dr. Coleman, Lottery Commissioner",spam,6,2025-07-13T09:56:54,31,367,work-from-home.org,,,,,,,,,,,,,
pharmacy@tempmail.com,Anti-aging cream - 74% OFF No Prescription!,"Get Anti-aging cream at 74% discount!

No prescription needed!
FDA approved (not really)
Discreet packaging
Worldwide shipping

Order now: [Pharmacy Link]

*Not evaluated by FDA
*Results may vary
*Side effects may include everything",spam,7,2025-07-21T17:02:49,43,232,tempmail.com,,,,,,,,,,,,,
opportunity@guerrillamail.com,Make $4330/Week From Home - No Experience!,"Make $4330/week working from home!

No experience needed!
Work only 2 hours per day!
Guaranteed income!

Join thousands of successful people making money online.

What you'll do:
- Data entry (super easy!)
- Email processing  
- Online surveys

Start today: [Work Link]

Limited spots available!",spam,8,2025-08-01T01:49:57,42,295,guerrillamail.com,,,,,,,,,,,,,
alert@get-rich-quick.net,⚠️ URGENT: Your IP address has been compromised!,"⚠️ URGENT ALERT ⚠️

Your IP address has been compromised!

IMMEDIATE ACTION REQUIRED:
1. Do not turn off your computer
2. Call this number NOW: 1-800-FAKE-NUM
3. Give us remote access to fix the problem

Failure to act within 1 hour will result in:
- Complete data loss
- Identity theft
- Legal consequences

Microsoft Certified Technician Team
(We're definitely not Microsoft)",spam,9,2025-07-24T03:50:58,48,377,get-rich-quick.net,,,,,,,,,,,,,
